Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2016-04-25,104.09,104.55,103.31,104.18,1296786.0,0.0,1.0,101.01140848272,101.45780340924,100.25447795513,101.09874662052,1296786.0
2016-04-22,102.96,105.14,102.85,104.19,1709907.0,0.0,1.0,99.91482964146999,102.0303534237,99.80808302860599,101.10845085805,1709907.0
2016-04-21,104.5,104.5,102.38,102.57,2442187.0,0.0,1.0,101.40928222158001,101.40928222158001,99.35198386454701,99.536364377677,2442187.0
2016-04-20,105.51,105.89,104.635,104.82,1707255.0,0.0,1.0,102.38941021243,102.75817123869,101.54028942828,101.71981782264,1707255.0
2016-04-19,105.02,105.54,103.95,105.5,2433066.0,0.0,1.0,101.91390257329999,102.41852292503,100.87554915725,102.37970597489,2433066.0
2016-04-18,105.22,105.76,105.0,105.54,2031483.0,0.0,1.0,102.10798732397,102.63201615076001,101.89449409823999,102.41852292503,2031483.0
2016-04-15,105.28,106.0,104.87,105.78,1325133.0,0.0,1.0,102.16621274916001,102.86491785155,101.76833901030001,102.65142462581998,1325133.0
2016-04-14,106.15,106.34,105.08,105.2,1628035.0,0.0,1.0,103.01048141455,103.19486192768,101.9721279985,102.0885788489,1628035.0
2016-04-13,106.74,106.75,105.81,106.23,2263733.0,0.0,1.0,103.58303142900999,103.59273566654,102.68053733842,103.08811531482,2263733.0
2016-04-12,105.91,106.49,105.26,106.17,1495699.0,0.0,1.0,102.77757971375,103.34042549068,102.14680427409999,103.02988988962,1495699.0
2016-04-11,106.25,106.53,105.6712,106.01,1423518.0,0.0,1.0,103.10752378988,103.37924244080999,102.54584252146,102.87462208909001,1423518.0
2016-04-08,105.02,106.07,104.8174,105.71,1380273.0,0.51,1.0,101.91390257329999,102.93284751428001,101.71729472088002,102.58349496309,1380273.0
2016-04-07,105.23,105.55,104.43,105.0,2133138.0,0.0,1.0,101.62738820340999,101.9364328126,100.85477668043,101.40526239055,2133138.0
2016-04-06,104.0,105.835,103.75,105.7,2330425.0,0.0,1.0,100.43949798683,102.21167566765999,100.1980568859,102.08129747316,2330425.0
2016-04-05,104.0,104.39,103.74,104.0,1661128.0,0.0,1.0,100.43949798683,100.81614610428001,100.18839924187,100.43949798683,1661128.0
2016-04-04,104.7,104.88,104.12,104.7,1877240.0,0.0,1.0,101.11553306944,101.28937066211,100.55538971528,101.11553306944,1877240.0
2016-04-01,101.93,104.82,101.87,104.5,3108018.0,0.0,1.0,98.44036567113399,101.23142479788,98.38241980691099,100.92238018869,3108018.0
2016-03-31,102.0,102.93,101.88,102.37,1584120.0,0.0,1.0,98.507969179394,99.40613007485399,98.39207745094801,98.865302008771,1584120.0
